"Symbol","Price Target"
"MMM",193.80,
"ABT",41.75,
"ABBV",68.29,
"ACN",132.78,
"ATVI",44.68,
"AYI",274.28,
"ADBE",111.64,
"AAP",186.17,
"AES",12.26,
"AET",127.27,
"AMG",149.06,
"AFL",83.60,
"A",46.20,
"APD",153.62,
"AKAM",66.75,
"ALK",67.13,
"ALB",93.19,
"AA",10.28,
"ALXN",121.88,
"ALLE",69.02,
"AGN",234.16,
"ADS",232.54,
"LNT",43.01,
"ALL",81.26,
"GOOGL",765.05,
"GOOG",865.50,
"MO",76.89,
"AMZN",784.92,
"AEE",54.91,
"AAL",28.98,
"AEP",71.48,
"AXP",67.71,
"AIG",52.53,
"AMT",122.92,
"AWK",83.41,
"AMP",100.29,
"ABC",78.46,
"AME",46.38,
"AMGN",149.81,
"APH",61.74,
"APC",63.43,
"ADI",70.51,
"ANTM",128.78,
"AON",125.70,
"APA",60.84,
"AIV",47.65,
"AAPL",105.89,
"AMAT",28.51,
"ADM",46.82,
"AJG",55.37,
"AIZ",94.84,
"T",43.69,
"ADSK",64.15,
"ADP",108.75,
"AN",59.26,
"AZO",876.86,
"AVGO",168.43,
"AVB",202.46,
"AVY",77.94,
"BHI",50.91,
"BLL",75.43,
"BAC",14.13,
"BCR",217.88,
"BAX",44.41,
"BBT",35.53,
"BDX",163.11,
"BBBY",50.48,
"BRK-B",158.54,
"BBY",34.02,
"BIIB",253.26,
"BLK",366.52,
"HRB",25.74,
"BA",132.21,
"BWA",35.31,
"BXP",131.24,
"BSX",23.76,
"BMY",74.42,
"BF-B",98.15,
"CHRW",82.58,
"CA",37.45,
"COG",29.47,
"CPB",67.50,
"COF",71.11,
"CAH",75.71,
"KMX",55.04,
"CCL",51.96,
"CAT",87.83,
"CBG",30.35,
"CBS",66.62,
"CELG",105.00,
"CNC",78.35,
"CNP",24.76,
"CTL",33.41,
"CERN",59.59,
"CF",27.00,
"SCHW",28.39,
"CHK",5.15,
"CVX",123.80,
"CMG",456.09,
"CB",131.46,
"CHD",110.42,
"CI",111.34,
"XEC",133.24,
"CINF",89.47,
"CTAS",101.25,
"CSCO",34.32,
"C",47.02,
"CFG",21.51,
"CTXS",101.86,
"CME",113.02,
"CMS",46.07,
"COH",47.23,
"CTSH",68.55,
"CL",73.39,
"CMCSA",72.50,
"CMA",44.50,
"CAG",48.93,
"CXO",135.53,
"COP",46.73,
"ED",78.85,
"STZ",172.96,
"GLW",23.53,
"COST",170.62,
"CCI",116.99,
"CSRA",26.11,
"CSX",26.82,
"CMI",130.58,
"CVS",104.71,
"DHI",39.08,
"DHR",90.56,
"DRI",71.65,
"DVA",79.95,
"DE",83.02,
"DLPH",70.39,
"DAL",39.81,
"XRAY",59.20,
"DVN",44.04,
"DO",30.53,
"DLR",125.04,
"DFS",52.90,
"DISCA",27.77,
"DISCK",27.05,
"DG",106.48,
"DLTR",101.74,
"D",75.50,
"DOV",78.34,
"DOW",51.17,
"DPS",94.14,
"DTE",98.86,
"DD",66.25,
"DUK",89.73,
"DNB",137.01,
"ETFC",27.45,
"EMN",65.28,
"ETN",65.69,
"EBAY",30.32,
"ECL",121.58,
"EIX",79.74,
"EW",103.06,
"EA",93.08,
"EMC",31.56,
"EMR",55.32,
"ENDP",16.75,
"ETR",87.46,
"EOG",92.68,
"EQT",93.21,
"EFX",144.01,
"EQIX",404.47,
"EQR",75.16,
"ESS",249.10,
"EL",93.64,
"ES",60.75,
"EXC",37.93,
"EXPE",125.31,
"EXPD",56.46,
"ESRX",80.53,
"EXR",104.87,
"XOM",122.62,
"FFIV",123.77,
"FB",135.93,
"FAST",50.05,
"FRT",178.14,
"FDX",159.18,
"FIS",87.17,
"FITB",21.03,
"FSLR",52.68,
"FE",36.39,
"FISV",120.28,
"FLIR",33.36,
"FLS",52.47,
"FLR",55.54,
"FMC",49.20,
"FTI",30.98,
"FL",61.67,
"F",13.89,
"FTV",53.25,
"FBHS",59.88,
"BEN",39.91,
"FCX",11.79,
"FTR",5.70,
"GPS",25.19,
"GRMN",51.57,
"GD",147.23,
"GE",33.81,
"GGP",31.04,
"GIS",77.43,
"GM",30.48,
"GPC",106.16,
"GILD",87.84,
"GPN",81.79,
"GS",163.87,
"GT",28.10,
"GWW",242.94,
"HAL",55.41,
"HBI",28.97,
"HOG",58.46,
"HAR",84.07,
"HRS",100.87,
"HIG",47.28,
"HAS",89.89,
"HCA",79.00,
"HCP",40.85,
"HP",79.34,
"HSIC",186.55,
"HES",68.84,
"HPE",22.46,
"HOLX",34.05,
"HD",140.33,
"HON",129.86,
"HRL",37.76,
"HST",18.46,
"HPQ",15.22,
"HUM",147.01,
"HBAN",8.91,
"ITW",116.30,
"ILMN",140.01,
"IR",70.54,
"INTC",38.55,
"ICE",291.66,
"IBM",175.87,
"IP",45.68,
"IPG",26.70,
"IFF",137.04,
"INTU",118.28,
"ISRG",654.62,
"IVZ",27.51,
"IRM",42.10,
"JBHT",97.60,
"JEC",55.17,
"JNJ",120.91,
"JCI",48.89,
"JPM",69.34,
"JNPR",28.80,
"KSU",97.36,
"K",83.99,
"KEY",12.54,
"KMB",138.90,
"KIM",34.44,
"KMI",20.41,
"KLAC",77.44,
"KSS",40.40,
"KHC",102.03,
"KR",36.25,
"LB",75.52,
"LLL",168.34,
"LH",127.75,
"LRCX",102.75,
"LM",33.22,
"LEG",57.93,
"LEN",56.83,
"LUK",19.89,
"LVLT",53.84,
"LLY",82.15,
"LNC",43.04,
"LLTC",53.05,
"LKQ",36.35,
"LMT",281.98,
"L",45.43,
"LOW",96.41,
"LYB",81.30,
"MTB",132.55,
"MAC",105.02,
"M",39.28,
"MNK",64.07,
"MRO",17.97,
"MPC",44.12,
"MAR",80.81,
"MMC",76.20,
"MLM",208.67,
"MAS",33.43,
"MA",98.72,
"MAT",37.74,
"MKC",118.60,
"MCD",143.37,
"MCK",189.20,
"MJN",98.93,
"MDT",93.40,
"MRK",62.00,
"MET",44.79,
"KORS",52.61,
"MCHP",61.44,
"MU",14.75,
"MSFT",57.12,
"MHK",229.42,
"TAP",105.49,
"MDLZ",47.41,
"MON",105.32,
"MNST",168.98,
"MCO",113.05,
"MS",30.83,
"MSI",77.01,
"MUR",34.83,
"MYL",40.17,
"NDAQ",76.01,
"NOV",36.76,
"NAVI",13.43,
"NTAP",28.67,
"NFLX",109.37,
"NWL",53.99,
"NFX",51.75,
"NEM",43.92,
"NWSA",12.79,
"NWS",14.16,
"NEE",140.65,
"NLSN",53.73,
"NKE",62.34,
"NI",26.15,
"NBL",37.16,
"JWN",44.46,
"NSC",89.91,
"NTRS",73.07,
"NOC",224.02,
"NRG",15.77,
"NUE",58.03,
"NVDA",60.85,
"ORLY",312.13,
"OXY",90.27,
"OMC",89.63,
"OKE",56.16,
"ORCL",46.14,
"OI",20.09,
"PCAR",58.06,
"PH",112.13,
"PDCO",49.82,
"PAYX",74.32,
"PYPL",45.68,
"PNR",63.44,
"PBCT",18.00,
"PEP",104.70,
"PKI",52.36,
"PRGO",88.32,
"PFE",38.44,
"PCG",67.54,
"PM",109.85,
"PSX",91.87,
"PNW",87.21,
"PXD",169.06,
"PBI",20.80,
"PNC",88.88,
"RL",109.17,
"PPG",114.71,
"PPL",36.17,
"PX",125.11,
"PCLN",1377.57,
"PFG",43.51,
"PG",94.26,
"PGR",36.31,
"PLD",55.33,
"PRU",79.34,
"PEG",52.57,
"PSA",294.58,
"PHM",23.44,
"PVH",100.50,
"QRVO",65.56,
"QCOM",63.58,
"PWR",26.79,
"DGX",87.06,
"RRC",49.94,
"RTN",147.31,
"O",78.24,
"RHT",82.35,
"REGN",396.42,
"RF",9.07,
"RSG",57.86,
"RAI",48.89,
"RHI",42.04,
"ROK",121.50,
"COL",93.70,
"ROP",162.98,
"ROST",62.99,
"RCL",82.56,
"R",65.65,
"SPGI",117.62,
"CRM",89.80,
"SCG",73.54,
"SLB",101.37,
"SNI",69.48,
"STX",29.31,
"SEE",54.75,
"SRE",114.69,
"SHW",333.51,
"SIG",96.12,
"SPG",237.61,
"SWKS",66.84,
"SLG",114.88,
"SJM",162.62,
"SNA",178.40,
"SO",53.14,
"LUV",41.59,
"SWN",15.03,
"SE",41.38,
"STJ",83.31,
"SWK",131.87,
"SPLS",10.03,
"SBUX",64.00,
"HOT",87.44,
"STT",61.02,
"SRCL",109.91,
"SYK",116.58,
"STI",44.19,
"SYMC",23.41,
"SYF",30.65,
"SYY",52.55,
"TROW",82.03,
"TGT",79.34,
"TEL",68.05,
"TGNA",25.94,
"TDC",30.34,
"TSO",84.50,
"TXN",66.29,
"TXT",41.30,
"BK",40.56,
"CLX",150.65,
"KO",45.14,
"HSY",121.76,
"MOS",28.74,
"TRV",130.76,
"DIS",123.51,
"TMO",149.76,
"TIF",66.37,
"TWX",82.03,
"TJX",89.02,
"TMK",70.90,
"TSS",63.14,
"TSCO",91.66,
"TDG",286.82,
"RIG",13.56,
"TRIP",76.41,
"FOXA",28.58,
"FOX",31.77,
"TYC",46.53,
"TSN",69.86,
"USB",43.19,
"UDR",42.08,
"ULTA",273.52,
"UA",43.65,
"UNP",98.54,
"UAL",43.88,
"UNH",133.77,
"UPS",115.48,
"URI",72.40,
"UTX",115.13,
"UHS",145.93,
"UNM",34.35,
"URBN",32.54,
"VFC",72.06,
"VLO",58.28,
"VAR",89.15,
"VTR",77.50,
"VRSN",98.63,
"VRSK",86.06,
"VZ",59.40,
"VRTX",90.98,
"VIAB",52.22,
"V",93.44,
"VNO",114.86,
"VMC",139.27,
"WMT",74.24,
"WBA",84.47,
"WM",76.66,
"WAT",154.24,
"WFC",53.55,
"HCN",83.44,
"WDC",60.33,
"WU",22.66,
"WRK",38.27,
"WY",33.50,
"WHR",178.54,
"WFM",34.55,
"WMB",24.66,
"WLTW",137.37,
"WEC",62.93,
"WYN",79.02,
"WYNN",99.67,
"XEL",43.48,
"XRX",11.40,
"XLNX",56.81,
"XL",36.44,
"XYL",50.72,
"YHOO",41.26,
"YUM",99.71,
"ZBH",128.01,
"ZION",27.75,
"ZTS",48.74,
